token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Lectis	lego	_	Plur	_	Par|Perf|Pass	Abl	Com	2	VER
litteris	littera	_	Plur	_	_	Abl	_	_	NOMcom
reuerentiae	reuerentia	_	Sing	_	_	Gen	_	_	NOMcom
tuae	tuus	_	Sing	_	_	Gen	Fem	_	PROpos
et	et	_	_	_	_	_	_	2	CONcoo
earum	is	_	Plur	_	_	Gen	Fem	_	PROdem
perlatore	perlator	_	Sing	_	_	Abl	_	_	NOMcom
interrogato	interrogo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
quae	qui	_	Plur	_	_	Nom	Neut	1	PROrel
interroganda	interrogo	_	Plur	_	Adj|_|Pass	Nom	Neut	_	VER
restabant	resto	_	Plur	3	Ind|Impa|Act	_	_	_	VER
uehementer	uehementer	Pos	_	_	_	_	_	_	ADV
dolui	doleo	_	Sing	1	Ind|Perf|Act	_	_	_	VER
sic	sic	Pos	_	_	_	_	_	_	ADV
te	tu	_	Sing	_	_	Acc	_	_	PROper
uoluisse	uolo	_	_	_	Inf|Perf|Act	_	_	3	VER
agere	ago	_	_	_	Inf|Pres|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	2	PRE
marito	maritus	_	Sing	_	_	Abl	_	1	NOMcom
ut	ut	_	_	_	_	_	_	4	CONsub
aedificium	aedificium	_	Sing	_	_	Nom	_	_	NOMcom
continentiae	continentia	_	Sing	_	_	Gen	_	_	NOMcom
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
in	in	_	_	_	_	_	_	_	PRE
eo	is	_	Sing	_	_	Abl	MascNeut	_	PROdem
iam	iam	Pos	_	_	_	_	_	_	ADV
construi	construo	_	_	_	Inf|Pres|Pass	_	_	_	VER
coeperat	coepio	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
amissa	amitto	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
perseuerantia	perseuerantia	_	Sing	_	_	Abl	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
adulterii	adulterium	_	Sing	_	_	Gen	_	_	NOMcom
ruinam	ruina	_	Sing	_	_	Acc	_	_	NOMcom
miserabiliter	miserabiliter	Pos	_	_	_	_	_	_	ADV
laberetur	labor	_	Sing	3	Sub|Impa|Dep	_	_	2	VER

Cum	cum	_	_	_	_	_	_	3	CONsub
enim	enim	_	_	_	_	_	_	2	CONcoo
lugendus	lugeo	_	Sing	_	Adj|_|Pass	Nom	Masc	_	VER
esset	sum	_	Sing	3	Sub|Impa|Act	_	_	1	VER
si	si	_	_	_	_	_	_	2	CONsub
post	post	_	_	_	_	_	_	2	PRE
continentiam	continentia	_	Sing	_	_	Acc	_	_	NOMcom
uotam	uoto	_	Sing	_	Par|Perf|Pass	Acc	Fem	_	VER
Deo	deus	_	Sing	_	_	Abl	_	_	NOMcom
iamque	iam界que	Pos	_	_	_	_	_	_	ADV
actu	actus	_	Sing	_	_	Abl	_	1	NOMcom
ipso	ipse	_	Sing	_	_	Abl	MascNeut	_	PROdem
moribusque	mos界que	_	Plur	_	_	Abl	_	_	NOMcom
susceptam	suscipio	_	Sing	_	Par|Perf|Pass	Acc	Fem	_	VER
reuerteretur	reuertor	_	Sing	3	Sub|Impa|Dep	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
coniugis	coniux	_	Sing	_	_	Gen	_	_	NOMcom
carnem	caro	_	Sing	_	_	Acc	_	1	NOMcom
quanto	quanto	_	_	_	_	_	_	1	ADVrel
magis	magis	Comp	_	_	_	_	_	2	ADV
nunc	nunc	Pos	_	_	_	_	_	_	ADV
demersus	demergo	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
in	in	_	_	_	_	_	_	_	PRE
interitum	interitus	_	Sing	_	_	Acc	_	_	NOMcom
profundiorem	profundus	Comp	Sing	_	_	Acc	MascFem	_	ADJqua
lugendus	lugeo	_	Sing	_	Adj|_|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
tam	tam	Pos	_	_	_	_	_	_	ADV
abrupta	abruptus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
dissolutione	dissolutio	_	Sing	_	_	Abl	_	_	NOMcom
moechatur	moechor	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
iratus	iratus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
tibi	tu	_	Sing	_	_	Dat	_	_	PROper
perniciosus	perniciosus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
tamquam	tamquam	_	_	_	_	_	_	1	ADVrel
in	in	_	_	_	_	_	_	_	PRE
te	tu	_	Sing	_	_	Abl	_	_	PROper
acerbius	acerbe	Comp	_	_	_	_	_	_	ADV
saeuiat	saeuio	_	Sing	3	Sub|Pres|Act	_	_	_	VER
si	si	_	_	_	_	_	_	2	CONsub
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
pereat	pereo	_	Sing	3	Sub|Pres|Act	_	_	1	VER

Hoc	hic	_	Sing	_	_	Nom	_	1	PROdem
autem	autem	_	_	_	_	_	_	_	CONcoo
tantum	tantum	_	Sing	_	_	Nom	Neut	1	PROdem
mali	malum	_	Sing	_	_	Gen	_	1	NOMcom
accidit	accido	_	Sing	3	Ind|Perf|Act	_	_	1	VER
dum	dum	_	_	_	_	_	_	2	CONsub
tu	tu	_	Sing	_	_	Nom	_	_	PROper
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
animum	animus	_	Sing	_	_	Acc	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
qua	qui	_	Sing	_	_	Abl	Fem	1	PROrel
debuisti	debeo	_	Sing	2	Ind|Perf|Act	_	_	_	VER
moderatione	moderatio	_	Sing	_	_	Abl	_	_	NOMcom
tractasti	tracto	_	Sing	2	Ind|Perf|Act	_	_	_	VER
quia	quia	_	_	_	_	_	_	_	CONsub
etsi	etsi	_	_	_	_	_	_	2	CONsub
carnali	carnalis	_	Sing	_	_	Abl	Com	_	NOMcom
consortio	consortio	_	Sing	_	_	Nom	_	_	NOMcom
iam	iam	Pos	_	_	_	_	_	_	ADV
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
consensu	consensus	_	Sing	_	_	Abl	_	_	NOMcom
uobis	uos	_	Plur	_	_	Dat	_	_	PROper
non	non	_	_	_	_	_	_	_	ADVneg
miscebamini	misceo	_	Plur	2	Ind|Impa|Pass	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
ceteris	ceterus	Pos	Plur	_	_	Abl	Com	_	ADJqua
tamen	tamen	Pos	_	_	_	_	_	_	ADV
rebus	res	_	Plur	_	_	Abl	_	_	NOMcom
coniugali	coniugalis	Pos	Sing	_	_	Abl	Com	_	ADJqua
obsequio	obsequium	_	Sing	_	_	Abl	_	_	NOMcom
uiro	uir	_	Sing	_	_	Dat	_	_	NOMcom
tuo	tuus	_	Sing	_	_	Dat	MascNeut	_	PROpos
mulier	mulier	_	Sing	_	_	Nom	_	_	NOMcom
seruire	seruio	_	_	_	Inf|Pres|Act	_	_	_	VER
debuisti	debeo	_	Sing	2	Ind|Perf|Act	_	_	_	VER
praesertim	praesertim	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	3	CONsub
ambo	ambo	_	Plur	_	_	Nom	MascNeut	2	ADJcar
essetis	sum	_	Plur	2	Sub|Impa|Act	_	_	1	VER
membra	membrum	_	Plur	_	_	Nom	_	_	NOMcom
corporis	corpus	_	Sing	_	_	Gen	_	_	NOMcom
Christi	Christus	_	Sing	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
utique	utique	Pos	_	_	_	_	_	_	ADV
si	si	_	_	_	_	_	_	2	CONsub
maritum	maritus	_	Sing	_	_	Acc	_	1	NOMcom
infidelem	infidelis	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
fidelis	fidelis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
habuisses	habeo	_	Sing	2	Sub|Pqp|Act	_	_	_	VER
agere	ago	_	_	_	Inf|Pres|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper
conuersatione	conuersatio	_	Sing	_	_	Abl	_	_	NOMcom
subdita	subdo	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
oportuit	oportet	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
domino	dominus	_	Sing	_	_	Dat	_	_	NOMcom
lucrareris	lucror	_	Sing	2	Sub|Impa|Dep	_	_	_	VER
sicut	sicut	_	_	_	_	_	_	2	CONsub
apostoli	apostolus	_	Plur	_	_	Nom	_	_	NOMcom
monuerunt	moneo	_	Plur	3	Ind|Perf|Act	_	_	_	VER

Omitto	omitto	_	Sing	1	Ind|Pres|Act	_	_	_	VER
enim	enim	_	_	_	_	_	_	2	CONcoo
quod	quod	_	_	_	_	_	_	2	CONsub
ipsam	ipse	_	Sing	_	_	Acc	Fem	_	PROdem
continentiam	continentia	_	Sing	_	_	Acc	_	_	NOMcom
illo	ille	_	Sing	_	_	Abl	MascNeut	_	PROdem
nondum	nondum	_	_	_	_	_	_	_	ADVneg
uolente	uolo	_	Sing	_	Par|Pres|Act	Abl	Com	3	VER
non	non	_	_	_	_	_	_	_	ADVneg
secundum	secundum	Pos	_	_	_	_	_	2	PRE
sanam	sanus	Pos	Sing	_	_	Acc	Fem	_	ADJqua
doctrinam	doctrina	_	Sing	_	_	Acc	_	_	NOMcom
te	tu	_	Sing	_	_	Acc	_	_	PROper
suscepisse	suscipio	_	_	_	Inf|Perf|Act	_	_	_	VER
cognoui	cognosco	_	Sing	1	Ind|Perf|Act	_	_	_	VER
neque	neque	_	_	_	_	_	_	_	CONcoo
enim	enim	_	_	_	_	_	_	2	CONcoo
corporis	corpus	_	Sing	_	_	Gen	_	_	NOMcom
tui	tuus	_	Sing	_	_	Gen	MascNeut	_	PROpos
debito	debitum	_	Sing	_	_	Dat	_	_	NOMcom
fraudandus	fraudo	_	Sing	_	Adj|_|Pass	Nom	Masc	_	VER
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
priusquam	priusquam	_	_	_	_	_	_	_	CONsub
ad	ad	_	_	_	_	_	_	2	PRE
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
bonum	bonum	_	Sing	_	_	Acc	_	_	NOMcom
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
superat	supero	_	Sing	3	Ind|Pres|Act	_	_	_	VER
pudicitiam	pudicitia	_	Sing	_	_	Acc	_	_	NOMcom
coniugalem	coniugalis	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
tuae	tuus	_	Sing	_	_	Dat	Fem	_	PROpos
