token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Senex	senex	_	Sing	_	_	Nom	_	1	NOMcom
fidelis	fidelis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
prima	primus	Sup	Sing	_	_	Abl	Fem	_	ADJord
credendi	credo	_	Sing	_	Ger|_|Act	Gen	_	_	VER
uia	uia	_	Sing	_	_	Abl	_	_	NOMcom
Abram	Abram	_	_	_	_	Ind	_	_	NOMpro
beati	beatus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
seminis	semen	_	Sing	_	_	Gen	_	1	NOMcom
serus	serus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
pater	pater	_	Sing	_	_	Nom	_	_	NOMcom
adiecta	adicio	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
nomen	nomen	_	Sing	_	_	Acc	_	_	NOMcom
auxit	augeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
syllaba	syllaba	_	Sing	_	_	Nom	_	_	NOMcom
Abram	Abram	_	_	_	_	Ind	_	_	NOMpro
parenti	parens	_	Sing	_	_	Dat	_	1	NOMcom
dictus	dico	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
Abraham	Abraham	_	_	_	_	Ind	_	_	NOMpro
Deo	deus	_	Sing	_	_	Dat	_	_	NOMcom
senile	senilis	Pos	Sing	_	_	Nom	Neut	_	ADJqua
pignus	pignus	_	Sing	_	_	Nom	_	_	NOMcom
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
dicauit	dico	_	Sing	3	Ind|Perf|Act	_	_	1	VER
uictimae	uictima	_	Sing	_	_	Dat	_	_	NOMcom
docens	doceo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
aram	ara	_	Sing	_	_	Acc	_	_	NOMcom
cum	cum	_	_	_	_	_	_	3	CONsub
litare	lito	_	_	_	Inf|Pres|Act	_	_	_	VER
quis	quis	_	Sing	_	_	Nom	Masc	2	PROind
uelit	uolo	_	Sing	3	Sub|Pres|Act	_	_	3	VER
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
dulce	dulcis	Pos	Sing	_	_	Nom	Neut	_	ADJqua
cordi	cor	_	Sing	_	_	Dat	_	_	NOMcom
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
pium	pius	Pos	Sing	_	_	Nom	Neut	_	ADJqua
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
unicum	unicus	Pos	Sing	_	_	Nom	Neut	_	ADJqua
Deo	deus	_	Sing	_	_	Dat	_	_	NOMcom
libenter	libenter	Pos	_	_	_	_	_	_	ADV
offerendum	offero	_	Sing	_	Ger|_|Act	Acc	_	_	VER
credito	credo	_	Sing	_	Par|Perf|Pass	Dat	MascNeut	_	VER
pugnare	pugno	_	_	_	Inf|Pres|Act	_	_	_	VER
nosmet	nos	_	Plur	_	_	Acc	_	_	PROper
cum	cum	_	_	_	_	_	_	2	PRE
profanis	profanus	Pos	Plur	_	_	Abl	Com	_	ADJqua
gentibus	gens	_	Plur	_	_	Abl	_	_	NOMcom
suasit	suadeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
suumque	suus界que	_	Sing	_	_	Acc	MascNeut	_	PROpos.ref
suasor	suasor	_	Sing	_	_	Nom	_	_	NOMcom
exemplum	exemplum	_	Sing	_	_	Acc	_	_	NOMcom
dedit	do	_	Sing	3	Ind|Perf|Act	_	_	_	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
ante	ante	_	_	_	_	_	_	1	ADV
prolem	proles	_	Sing	_	_	Acc	_	_	NOMcom
coniugalem	coniugalis	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
gignere	gigno	_	_	_	Inf|Pres|Act	_	_	_	VER
Deo	deus	_	Sing	_	_	Dat	_	_	NOMcom
placentem	placeo	_	Sing	_	Par|Pres|Act	Acc	MascFem	_	VER
matre	mater	_	Sing	_	_	Abl	_	_	NOMcom
uirtute	uirtus	_	Sing	_	_	Abl	_	_	NOMcom
editam	edo	_	Sing	_	Par|Perf|Pass	Acc	Fem	1	VER
quam	quam	_	_	_	_	_	_	1	ADVrel
strage	strages	_	Sing	_	_	Abl	_	_	NOMcom
multa	multus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
bellicosus	bellicosus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
spiritus	spiritus	_	Sing	_	_	Nom	_	_	NOMcom
portenta	portentum	_	Plur	_	_	Acc	_	_	NOMcom
cordis	cor	_	Sing	_	_	Gen	_	_	NOMcom
seruientis	seruio	_	Sing	_	Par|Pres|Act	Gen	Com	_	VER
uicerit	uinco	_	Sing	3	Sub|Perf|Act	_	_	_	VER

uictum	uinco	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
feroces	ferox	Pos	Plur	_	_	Nom	MascFem	_	ADJqua
forte	forte	Pos	_	_	_	_	_	_	ADV
reges	rex	_	Plur	_	_	Nom	_	_	NOMcom
ceperant	capio	_	Plur	3	Ind|Pqp|Act	_	_	2	VER
Loth	Lot	_	_	_	_	Ind	_	_	NOMpro
inmorantem	immoror	_	Sing	_	Par|Pres|Dep	Acc	MascFem	1	VER
criminosis	criminosus	Pos	Plur	_	_	Abl	Com	_	ADJqua
urbibus	urbs	_	Plur	_	_	Abl	_	_	NOMcom
Sodomae	Sodoma	_	Sing	_	_	Dat	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
Gomorrae	Gomorrha	_	Sing	_	_	Dat	_	_	NOMpro
quas	qui	_	Plur	_	_	Acc	Fem	1	PROrel
fouebat	foueo	_	Sing	3	Ind|Impa|Act	_	_	_	VER
aduena	aduena	_	Sing	_	_	Nom	_	_	NOMcom
pollens	pollens	Pos	Sing	_	_	Nom	Com	_	ADJqua
honore	honor	_	Sing	_	_	Abl	_	_	NOMcom
patruelis	patruelis	_	Sing	_	_	Gen	_	2	NOMcom
gloriae	gloria	_	Sing	_	_	Gen	_	_	NOMcom

Abram	Abram	_	_	_	_	Ind	_	_	NOMpro
sinistris	sinister	Pos	Plur	_	_	Abl	Com	_	ADJqua
excitatus	excito	_	Sing	_	Par|Perf|Pass	Nom	Masc	1	VER
nuntiis	nuntius	_	Plur	_	_	Abl	_	1	NOMcom
audit	audio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
propinquum	propinquus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
sorte	sors	_	Sing	_	_	Abl	_	_	NOMcom
captum	capio	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	2	VER
bellica	bellicus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
seruire	seruio	_	_	_	Inf|Pres|Act	_	_	_	VER
duris	durus	Pos	Plur	_	_	Abl	Com	_	ADJqua
barbarorum	barbarus	_	Plur	_	_	Gen	_	1	NOMcom
uinculis	uinculum	_	Plur	_	_	Abl	_	_	NOMcom
armat	armo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
trecentos	trecenti	_	Plur	_	_	Acc	Masc	_	ADJcar
terque	ter界que	_	_	_	_	_	_	_	ADJadv.mul
senos	senus	_	Plur	_	_	Acc	Masc	_	ADJdis
uernulas	uernula	_	Plur	_	_	Acc	_	_	NOMcom
pergant	pergo	_	Plur	3	Sub|Pres|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
hostis	hostis	_	Sing	_	_	Gen	_	_	NOMcom
terga	tergum	_	Plur	_	_	Acc	_	_	NOMcom
euntis	eo	_	Sing	_	Par|Pres|Act	Gen	Com	1	VER
caedere	caedo	_	_	_	Inf|Pres|Act	_	_	_	VER
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
gaza	gaza	_	Sing	_	_	Nom	_	_	NOMcom
diues	diues	Pos	Sing	_	_	Nom	Com	_	ADJqua
ac	ac	_	_	_	_	_	_	1	CONcoo
triumphus	triumphus	_	Sing	_	_	Nom	_	_	NOMcom
nobilis	nobilis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua

captis	capio	_	Plur	_	Par|Perf|Pass	Abl	Com	2	VER
tenebant	teneo	_	Plur	3	Ind|Impa|Act	_	_	_	VER
inpeditum	impeditus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
copiis	copia	_	Plur	_	_	Abl	_	_	NOMcom

quin	quin	Pos	_	_	_	_	_	1	ADV
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
ferrum	ferrum	_	Sing	_	_	Acc	_	_	NOMcom
stringit	stringo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
plenus	plenus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
Deo	deus	_	Sing	_	_	Abl	_	_	NOMcom
reges	rex	_	Plur	_	_	Acc	_	_	NOMcom
superbos	superbus	Pos	Plur	_	_	Acc	Masc	2	ADJqua
mole	moles	_	Sing	_	_	Abl	_	_	NOMcom
praedarum	praeda	_	Plur	_	_	Gen	_	_	NOMcom
graues	grauis	Pos	Plur	_	_	Acc	MascFem	_	ADJqua
pellit	pello	_	Sing	3	Ind|Pres|Act	_	_	_	VER
fugatos	fugo	_	Plur	_	Par|Perf|Pass	Acc	Masc	_	VER
sauciatos	saucio	_	Plur	_	Par|Perf|Pass	Acc	Masc	_	VER
proterit	protero	_	Sing	3	Ind|Pres|Act	_	_	_	VER
frangit	frango	_	Sing	3	Ind|Pres|Act	_	_	_	VER
catenas	catena	_	Plur	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
rapinam	rapina	_	Sing	_	_	Acc	_	1	NOMcom
liberat	libero	_	Sing	3	Ind|Pres|Act	_	_	_	VER
aurum	aurum	_	Sing	_	_	Acc	_	_	NOMcom
puellas	puella	_	Plur	_	_	Acc	_	_	NOMcom
paruulos	paruulus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
monilia	monile	_	Plur	_	_	Acc	_	_	NOMcom
greges	grex	_	Plur	_	_	Acc	_	_	NOMcom
equarum	equa	_	Plur	_	_	Gen	_	_	NOMcom
uasa	uas	_	Plur	_	_	Acc	_	2	NOMcom
uestem	uestis	_	Sing	_	_	Acc	_	_	NOMcom
buculas	bucula	_	Plur	_	_	Acc	_	_	NOMcom

Loth	Lot	_	_	_	_	Ind	_	_	NOMpro
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
ruptis	rumpo	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
expeditus	expeditus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
nexibus	nexus	_	Plur	_	_	Abl	_	_	NOMcom
attrita	attero	_	Plur	_	Par|Perf|Pass	Acc	Neut	_	VER
bacis	bacca	_	Plur	_	_	Abl	_	_	NOMcom
colla	collum	_	Plur	_	_	Acc	_	_	NOMcom
liber	liber	Pos	Sing	_	_	Nom	Com	2	ADJqua
erigit	erigo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Abram	Abram	_	_	_	_	Ind	_	_	NOMpro
triumphi	triumphus	_	Sing	_	_	Gen	_	_	NOMcom
dissipator	dissipator	_	Sing	_	_	Nom	_	_	NOMcom
hostici	hosticus	Pos	Sing	_	_	Gen	Com	_	ADJqua
redit	redeo	_	Sing	3	Ind|Perf|Act	_	_	1	VER
recepta	recipio	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
prole	proles	_	Sing	_	_	Abl	_	_	NOMcom
fratris	frater	_	Sing	_	_	Gen	_	_	NOMcom
inclytus	inclytus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
ne	ne	_	_	_	_	_	_	4	CONsub
quam	quis	_	Sing	_	_	Acc	Fem	2	PROind
fidelis	fidelis	Pos	Sing	_	_	Gen	Com	2	ADJqua
sanguinis	sanguis	_	Sing	_	_	Gen	_	_	NOMcom
prosapiam	prosapia	_	Sing	_	_	Acc	_	_	NOMcom
uis	uis	_	Sing	_	_	Nom	_	_	NOMcom
pessimorum	malus	Sup	Plur	_	_	Gen	MascNeut	3	ADJqua
possideret	possideo	_	Sing	3	Sub|Impa|Act	_	_	_	VER
principum	princeps	_	Plur	_	_	Gen	_	1	NOMcom

adhuc	adhuc	Pos	_	_	_	_	_	_	ADV
recentem	recens	Pos	Sing	_	_	Acc	MascFem	1	ADJqua
caede	caedes	_	Sing	_	_	Abl	_	_	NOMcom
de	de	_	_	_	_	_	_	_	PRE
tanta	tantus	_	Sing	_	_	Abl	Fem	_	PROdem
uirum	uir	_	Sing	_	_	Acc	_	_	NOMcom
donat	dono	_	Sing	3	Ind|Pres|Act	_	_	_	VER
sacerdos	sacerdos	_	Sing	_	_	Nom	_	_	NOMcom
ferculis	ferculum	_	Plur	_	_	Abl	_	_	NOMcom
caelestibus	caelestis	Pos	Plur	_	_	Abl	Com	_	ADJqua
Dei	deus	_	Sing	_	_	Gen	_	_	NOMcom
sacerdos	sacerdos	_	Sing	_	_	Nom	_	_	NOMcom
rex	rex	_	Sing	_	_	Nom	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
idem	idem	_	Sing	_	_	Nom	MascNeut	_	PROdem
praepotens	praepotens	Pos	Sing	_	_	Nom	Com	_	ADJqua
origo	origo	_	Sing	_	_	Nom	_	_	NOMcom
cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
fonte	fons	_	Sing	_	_	Abl	_	_	NOMcom
inenarrabili	inenarrabilis	Pos	Sing	_	_	Abl	Com	_	ADJqua
secreta	secretus	_	Sing	_	_	Nom	Fem	_	ADJqua
nullum	nullus	_	Sing	_	_	Acc	MascNeut	_	PROind
prodit	prodeo	_	Sing	3	Ind|Pres|Act	_	_	1	VER
auctorem	auctor	_	Sing	_	_	Acc	_	_	NOMcom
sui	sui	_	Sing	_	_	Gen	_	2	PROpos.ref
Melchisedech	Melchisedech	_	_	_	_	Ind	_	_	NOMpro
qua	quis	_	Sing	_	_	Abl	Fem	1	PROint
stirpe	stirps	_	Sing	_	_	Abl	_	_	NOMcom
quis	quis	_	Plur	_	_	Abl	Com	1	PROint
maioribus	maiores	_	Plur	_	_	Abl	_	_	NOMcom
ignotus	ignotus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
uni	unus	_	Sing	_	_	Dat	_	_	ADJcar
