token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
Cum	cum	_	_	_	_	_	_	3	CONsub
autem	autem	_	_	_	_	_	_	_	CONcoo
quadam	quidam	_	Sing	_	_	Abl	Fem	_	PROind
die	dies	_	Sing	_	_	Abl	_	_	NOMcom
Maria	Maria	_	Sing	_	_	Abl	_	_	NOMpro
Magdalena	Magdalene	_	Sing	_	_	Nom	_	_	NOMpro
praedicaret	praedico	_	Sing	3	Sub|Impa|Act	_	_	1	VER
praedictus	praedico	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
princeps	princeps	_	Sing	_	_	Nom	_	1	NOMcom
dixit	dico	_	Sing	3	Ind|Perf|Act	_	_	2	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem

Putas	puto	_	Sing	2	Ind|Pres|Act	_	_	_	VER
posse	possum	_	_	_	Inf|Pres|Act	_	_	1	VER
defendere	defendo	_	_	_	Inf|Pres|Act	_	_	_	VER
fidem	fides	_	Sing	_	_	Acc	_	2	NOMcom
quam	qui	_	Sing	_	_	Acc	Fem	1	PROrel
praedicas	praedico	_	Sing	2	Ind|Pres|Act	_	_	1	VER

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
illa	ille	_	Sing	_	_	Nom	Fem	_	PROdem

Equidem	equidem	Pos	_	_	_	_	_	_	ADV
illam	ille	_	Sing	_	_	Acc	Fem	_	PROdem
defendere	defendo	_	_	_	Inf|Pres|Act	_	_	_	VER
praesto	praesto	Pos	_	_	_	_	_	2	ADV
sum	sum	_	Sing	1	Ind|Pres|Act	_	_	1	VER
utpote	utpote	Pos	_	_	_	_	_	_	ADV
quotidianis	quotidianus	Pos	Plur	_	_	Abl	Com	_	ADJqua
miraculis	miraculum	_	Plur	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
praedicatione	praedicatio	_	Sing	_	_	Abl	_	_	NOMcom
magistri	magister	_	Sing	_	_	Gen	_	_	NOMcom
mei	meus	_	Sing	_	_	Gen	MascNeut	_	PROpos
Petri	Petrus	_	Sing	_	_	Gen	_	_	NOMpro
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
Romae	Roma	_	Sing	_	_	Loc	_	_	NOMpro
praesidet	praesideo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
roboratam	roboro	_	Sing	_	Par|Perf|Pass	Acc	Fem	_	VER

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
princeps	princeps	_	Sing	_	_	Nom	_	1	NOMcom
cum	cum	_	_	_	_	_	_	2	PRE
coniuge	coniux	_	Sing	_	_	Abl	_	_	NOMcom
dixit	dico	_	Sing	3	Ind|Perf|Act	_	_	2	VER

Ecce	ecce	_	_	_	_	_	_	_	INJ
dictis	dictum	_	Plur	_	_	Dat	_	_	NOMcom
tuis	tuus	_	Plur	_	_	Dat	Com	_	PROpos
per	per	_	_	_	_	_	_	_	PRE
omnia	omnis	_	Plur	_	_	Acc	Neut	_	PROind
obtemperare	obtempero	_	_	_	Inf|Pres|Act	_	_	_	VER
parati	paratus	Pos	Plur	_	_	Nom	Masc	2	ADJqua
sumus	sum	_	Plur	1	Ind|Pres|Act	_	_	1	VER
si	si	_	_	_	_	_	_	2	CONsub
a	ab	_	_	_	_	_	_	_	PRE
Deo	deus	_	Sing	_	_	Abl	_	_	NOMcom
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
praedicas	praedico	_	Sing	2	Ind|Pres|Act	_	_	1	VER
nobis	nos	_	Plur	_	_	Dat	_	_	PROper
filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
impetrabis	impetro	_	Sing	2	Ind|Fut|Act	_	_	_	VER

Propter	propter	_	_	_	_	_	_	2	PRE
hoc	hic	_	Sing	_	_	Acc	Neut	1	PROdem

inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
Magdalena	Magdalene	_	Sing	_	_	Nom	_	_	NOMpro

non	non	_	_	_	_	_	_	_	ADVneg
remanebit	remaneo	_	Sing	3	Ind|Fut|Act	_	_	_	VER

Tunc	tunc	Pos	_	_	_	_	_	_	ADV
beata	beatus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
Maria	Maria	_	Sing	_	_	Nom	_	_	NOMpro
pro	pro	_	_	_	_	_	_	1	PRE
ipsis	ipse	_	Plur	_	_	Abl	Com	_	PROdem
Dominum	dominus	_	Sing	_	_	Acc	_	_	NOMcom
exorauit	exoro	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
sibi	sui	_	Plur	_	_	Dat	_	1	PROref
filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
concedere	concedo	_	_	_	Inf|Pres|Act	_	_	1	VER
dignaretur	dignor	_	Sing	3	Sub|Impa|Dep	_	_	_	VER

Cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
preces	prex	_	Plur	_	_	Acc	_	_	NOMcom
Dominus	dominus	_	Sing	_	_	Nom	_	_	NOMcom
exaudiuit	exaudio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
matrona	matrona	_	Sing	_	_	Nom	_	_	NOMcom
illa	ille	_	Sing	_	_	Nom	Fem	_	PROdem
concepit	concipio	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Tunc	tunc	Pos	_	_	_	_	_	_	ADV
uir	uir	_	Sing	_	_	Nom	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
coepit	coepio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
uelle	uolo	_	_	_	Inf|Pres|Act	_	_	3	VER
proficisci	proficiscor	_	_	_	Inf|Pres|Pass	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
Petrum	Petrus	_	Sing	_	_	Acc	_	_	NOMpro
ut	ut	_	_	_	_	_	_	4	CONsub
probaret	probo	_	Sing	3	Sub|Impa|Act	_	_	_	VER
si	si	_	_	_	_	_	_	2	CONsub
ut	ut	_	_	_	_	_	_	1	ADVrel
Magdalena	Magdalene	_	Sing	_	_	Nom	_	_	NOMpro
de	de	_	_	_	_	_	_	_	PRE
Christo	Christus	_	Sing	_	_	Abl	_	_	NOMpro
praedicauerat	praedico	_	Sing	3	Ind|Pqp|Act	_	_	1	VER
sic	sic	Pos	_	_	_	_	_	_	ADV
ueritas	ueritas	_	Sing	_	_	Nom	_	_	NOMcom
se	sui	_	Sing	_	_	Acc	_	1	PROref
haberet	habeo	_	Sing	3	Sub|Impa|Act	_	_	_	VER

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
uxor	uxor	_	Sing	_	_	Nom	_	_	NOMcom
dixit	dico	_	Sing	3	Ind|Perf|Act	_	_	2	VER

Quid	quis	_	Sing	_	_	Nom	Neut	1	PROint
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
domine	dominus	_	Sing	_	_	Voc	_	_	NOMcom

Putasne	puto界ne	_	Sing	2	Ind|Pres|Act	_	_	_	VER
sine	sine	_	_	_	_	_	_	_	PRE
me	ego	_	Sing	_	_	Abl	_	_	PROper
proficisci	proficiscor	_	_	_	Inf|Pres|Dep	_	_	_	VER

Absit	absum	_	Sing	3	Sub|Pres|Act	_	_	1	VER

Te	tu	_	Sing	_	_	Abl	_	_	PROper
enim	enim	_	_	_	_	_	_	2	CONcoo
recedente	recedo	_	Sing	_	Par|Pres|Act	Abl	Com	1	VER
recedam	recedo	_	Sing	1	Ind|Fut|Act	_	_	1	VER

te	tu	_	Sing	_	_	Abl	_	_	PROper
ueniente	uenio	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
ueniam	uenio	_	Sing	1	Ind|Fut|Act	_	_	_	VER

te	tu	_	Sing	_	_	Abl	_	_	PROper
quiescente	quiesco	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
quiescam	quiesco	_	Sing	1	Ind|Fut|Act	_	_	_	VER

Cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
uir	uir	_	Sing	_	_	Nom	_	_	NOMcom
ait	aio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
Non	non	_	_	_	_	_	_	_	ADVneg
sic	sic	Pos	_	_	_	_	_	_	ADV
fiet	fio	_	Sing	3	Ind|Fut|Act	_	_	_	VER
domina	domina	_	Sing	_	_	Voc	_	_	NOMcom
etenim	etenim	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
sis	sum	_	Sing	2	Sub|Pres|Act	_	_	1	VER
grauida	grauidus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
in	in	_	_	_	_	_	_	_	PRE
mari	mare	_	Sing	_	_	Abl	_	_	NOMcom
sint	sum	_	Plur	3	Sub|Pres|Act	_	_	1	VER
infinita	infinitus	Pos	Plur	_	_	Nom	Neut	_	ADJqua
pericula	periculum	_	Plur	_	_	Nom	_	_	NOMcom
de	de	_	_	_	_	_	_	_	PRE
facili	facilis	Pos	Sing	_	_	Abl	Com	_	ADJqua
periclitari	periclitor	_	_	_	Inf|Pres|Dep	_	_	_	VER
posses	possum	_	Sing	2	Sub|Impa|Act	_	_	1	VER

Domi	domus	_	Sing	_	_	Loc	_	_	NOMcom
igitur	igitur	_	_	_	_	_	_	_	CONcoo
quiesces	quiesco	_	Sing	2	Ind|Fut|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
possessionibus	possessio	_	Plur	_	_	Dat	_	_	NOMcom
nostris	noster	_	Plur	_	_	Dat	Com	_	PROpos
curam	cura	_	Sing	_	_	Acc	_	_	NOMcom
impendes	impendo	_	Sing	2	Ind|Pres|Act	_	_	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
contra	contra	_	_	_	_	_	_	1	ADV
illa	ille	_	Sing	_	_	Nom	Fem	_	PROdem
instabat	insto	_	Sing	3	Ind|Impa|Act	_	_	_	VER
femineum	femineus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
nec	nec	_	_	_	_	_	_	2	CONcoo
mutans	muto	_	Sing	_	Par|Pres|Act	Nom	Com	2	VER
femina	femina	_	Sing	_	_	Nom	_	_	NOMcom
morem	mos	_	Sing	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
cum	cum	_	_	_	_	_	_	2	PRE
lacrimis	lacrima	_	Plur	_	_	Abl	_	_	NOMcom
pedibus	pes	_	Plur	_	_	Abl	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
obuoluta	obuoluo	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
petebat	peto	_	Sing	3	Ind|Impa|Act	_	_	_	VER
tandem	tandem	Pos	_	_	_	_	_	_	ADV
obtinuit	obtineo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Maria	Maria	_	Sing	_	_	Nom	_	_	NOMpro
ergo	ergo	_	_	_	_	_	_	2	CONcoo
humeris	humerus	_	Plur	_	_	Dat	_	_	NOMcom
eorum	is	_	Plur	_	_	Gen	MascNeut	_	PROdem
signum	signum	_	Sing	_	_	Acc	_	_	NOMcom
crucis	crux	_	Sing	_	_	Acc	_	_	NOMcom
imposuit	impono	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ne	ne	_	_	_	_	_	_	4	CONsub
eos	is	_	Plur	_	_	Acc	Masc	_	PROdem
antiquus	antiquus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
hostis	hostis	_	Sing	_	_	Nom	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
aliquo	aliquis	_	Sing	_	_	Abl	MascNeut	_	PROind
itinere	iter	_	Sing	_	_	Abl	_	_	NOMcom
impediret	impedio	_	Sing	3	Sub|Impa|Act	_	_	_	VER

Nauem	nauis	_	Sing	_	_	Acc	_	_	NOMcom
igitur	igitur	_	_	_	_	_	_	_	CONcoo
omnibus	omnis	_	Plur	_	_	Abl	Com	_	PROind
necessaris	necessarius	_	Plur	_	_	Abl	_	1	NOMcom
copiose	copiose	Pos	_	_	_	_	_	_	ADV
onerantes	onero	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER
cetera	cetera	_	Plur	_	_	Acc	_	1	NOMcom
quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
habebant	habeo	_	Plur	3	Ind|Impa|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
Mariae	Maria	_	Sing	_	_	Gen	_	_	NOMpro
Magdalenae	Magdalene	_	Sing	_	_	Gen	_	_	NOMpro
custodia	custodia	_	Sing	_	_	Abl	_	_	NOMcom
relinquentes	relinquo	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER
proficisci	proficiscor	_	_	_	Inf|Pres|Dep	_	_	_	VER
coeperunt	coepio	_	Plur	3	Ind|Perf|Act	_	_	_	VER

Iamque	iam界que	Pos	_	_	_	_	_	_	ADV
unius	unus	_	Sing	_	_	Gen	Com	_	ADJcar
diei	dies	_	Sing	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
noctis	nox	_	Sing	_	_	Gen	_	_	NOMcom
cursu	cursus	_	Sing	_	_	Abl	_	_	NOMcom
consummato	consummo	_	Sing	_	Par|Perf|Pass	Abl	MascNeut	_	VER
coepit	coepio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
nimium	nimium	Pos	_	_	_	_	_	2	ADV
mare	mare	_	Sing	_	_	Nom	_	_	NOMcom
intumescere	intumesco	_	_	_	Inf|Pres|Act	_	_	_	VER
uentus	uentus	_	Sing	_	_	Nom	_	_	NOMcom
flare	flo	_	_	_	Inf|Pres|Act	_	_	_	VER
ita	ita	Pos	_	_	_	_	_	_	ADV
ut	ut	_	_	_	_	_	_	4	CONsub
omnes	omnis	_	Plur	_	_	Nom	MascFem	_	PROind
et	et	_	_	_	_	_	_	2	CONcoo
maxime	magis	Sup	_	_	_	_	_	2	ADV
matrona	matrona	_	Sing	_	_	Nom	_	_	NOMcom
grauida	grauidus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
debilis	debilis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
tam	tam	Pos	_	_	_	_	_	_	ADV
saeua	saeuus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
inundatione	inundatio	_	Sing	_	_	Abl	_	_	NOMcom
fluctuum	fluctus	_	Plur	_	_	Gen	_	_	NOMcom
quassati	quasso	_	Plur	_	Par|Perf|Pass	Nom	Masc	_	VER
grauissimis	grauis	Sup	Plur	_	_	Abl	Com	_	ADJqua
angustiis	angustia	_	Plur	_	_	Abl	_	_	NOMcom
urgerentur	urgeo	_	Plur	3	Sub|Impa|Pass	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
tantum	tantum	_	Sing	_	_	Acc	MascNeut	1	PROdem
quod	quod	_	_	_	_	_	_	2	CONsub
in	in	_	_	_	_	_	_	_	PRE
eam	is	_	Sing	_	_	Acc	Fem	_	PROdem
subito	subito	Pos	_	_	_	_	_	_	ADV
dolor	dolor	_	Sing	_	_	Nom	_	_	NOMcom
partus	partus	_	Sing	_	_	Gen	_	1	NOMcom
irruit	irruo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
inter	inter	_	_	_	_	_	_	_	PRE
angustias	angustia	_	Plur	_	_	Acc	_	_	NOMcom
uentris	uenter	_	Sing	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
pressuras	pressura	_	Plur	_	_	Acc	_	_	NOMcom
temporis	tempus	_	Sing	_	_	Gen	_	1	NOMcom
filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
parturiens	parturio	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
exspirauit	exspiro	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Natus	nascor	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
igitur	igitur	_	_	_	_	_	_	_	CONcoo
puerulus	puerulus	_	Sing	_	_	Nom	_	_	NOMcom
palpitabat	palpito	_	Sing	3	Ind|Impa|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
mamillarum	mamilla	_	Plur	_	_	Gen	_	_	NOMcom
maternarum	maternus	Pos	Plur	_	_	Gen	Fem	_	ADJqua
quaerens	quaero	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
solacia	solacium	_	Plur	_	_	Acc	_	_	NOMcom
lamentabiles	lamentabilis	Pos	Plur	_	_	Acc	MascFem	_	ADJqua
dabat	do	_	Sing	3	Ind|Impa|Act	_	_	_	VER
uagitus	uagitus	_	Sing	_	_	Nom	_	_	NOMcom

Proh	pro	_	_	_	_	_	_	2	INJ
dolor	dolor	_	Sing	_	_	Nom	_	_	NOMcom

Et	et	_	_	_	_	_	_	2	CONcoo
natus	nascor	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
infans	infans	_	Sing	_	_	Nom	_	1	NOMcom
uiuus	uiuus	Pos	Sing	_	_	Nom	Masc	2	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
matricida	matricida	_	Sing	_	_	Nom	_	_	NOMcom
effectus	efficio	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER

Mori	morior	_	_	_	Inf|Pres|Dep	_	_	_	VER
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
conuenit	conuenio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
non	non	_	_	_	_	_	_	_	ADVneg
sit	sum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
uitae	uita	_	Sing	_	_	Dat	_	_	NOMcom
tribuat	tribuo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
alimentum	alimentum	_	Sing	_	_	Acc	_	_	NOMcom

Quid	quis	_	Sing	_	_	Acc	Neut	1	PROint
faciet	facio	_	Sing	3	Ind|Fut|Act	_	_	_	VER
peregrinus	peregrinus	_	Sing	_	_	Nom	_	1	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
uxorem	uxor	_	Sing	_	_	Acc	_	_	NOMcom
mortuam	mortuus	Pos	Sing	_	_	Acc	Fem	2	ADJqua
uideat	uideo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
puerum	puer	_	Sing	_	_	Acc	_	_	NOMcom
uagientem	uagio	_	Sing	_	Par|Pres|Act	Acc	MascFem	_	VER
querulis	querulus	Pos	Plur	_	_	Abl	Com	_	ADJqua
uocibus	uox	_	Plur	_	_	Abl	_	_	NOMcom
matris	mater	_	Sing	_	_	Gen	_	_	NOMcom
mammam	mamma	_	Sing	_	_	Acc	_	_	NOMcom
appetentem	appeto	_	Sing	_	Par|Pres|Act	Acc	MascFem	_	VER

Lamentabatur	lamentor	_	Sing	3	Ind|Impa|Pass	_	_	_	VER
plurimum	multum	Sup	_	_	_	_	_	2	ADV
et	et	_	_	_	_	_	_	2	CONcoo
dicebat	dico	_	Sing	3	Ind|Impa|Act	_	_	2	VER

Heu	heu	_	_	_	_	_	_	_	INJ
miser	miser	Pos	Sing	_	_	Voc	Masc	_	ADJqua
quid	quis	_	Sing	_	_	Acc	Neut	1	PROint
facies	facio	_	Sing	2	Ind|Fut|Act	_	_	_	VER

Filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
habere	habeo	_	_	_	Inf|Pres|Act	_	_	_	VER
desiderasti	desidero	_	Sing	2	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
matrem	mater	_	Sing	_	_	Acc	_	_	NOMcom
cum	cum	_	_	_	_	_	_	2	PRE
filio	filius	_	Sing	_	_	Abl	_	_	NOMcom
perdidisti	perdo	_	Sing	2	Ind|Perf|Act	_	_	_	VER

Nautae	nauta	_	Plur	_	_	Nom	_	_	NOMcom
acclamabant	acclamo	_	Plur	3	Ind|Impa|Act	_	_	_	VER
dicentes	dico	_	Plur	_	Par|Pres|Act	Nom	MascFem	2	VER

Proiciatur	proicio	_	Sing	3	Sub|Pres|Pass	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
mare	mare	_	Sing	_	_	Acc	_	_	NOMcom
hoc	hic	_	Sing	_	_	Nom	Neut	1	PROdem
corpus	corpus	_	Sing	_	_	Nom	_	_	NOMcom
antequam	antequam	_	_	_	_	_	_	_	CONsub
insimul	insimul	Pos	_	_	_	_	_	_	ADV
pereamus	pereo	_	Plur	1	Sub|Pres|Act	_	_	1	VER

Quamdiu	quamdiu	_	_	_	_	_	_	2	ADVint
enim	enim	_	_	_	_	_	_	2	CONcoo
nobiscum	nos界cum	_	Plur	_	_	Abl	_	_	PROper
fuerit	sum	_	Sing	3	Ind|FutAnt|Act	_	_	1	VER
haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
quassatio	quassatio	_	Sing	_	_	Nom	_	_	NOMcom
non	non	_	_	_	_	_	_	_	ADVneg
cessabit	cesso	_	Sing	3	Ind|Fut|Act	_	_	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
corpus	corpus	_	Sing	_	_	Acc	_	_	NOMcom
apprehendissent	apprehendo	_	Plur	3	Sub|Pqp|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
mare	mare	_	Sing	_	_	Acc	_	_	NOMcom
iactarent	iacto	_	Plur	3	Sub|Impa|Act	_	_	_	VER

Parcite	parco	_	Plur	2	Imp|Pres|Act	_	_	_	VER

inquit	inquio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
peregrinus	peregrinus	_	Sing	_	_	Nom	_	1	NOMcom

parcite	parco	_	Plur	2	Imp|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
si	si	_	_	_	_	_	_	2	CONsub
nec	nec	_	_	_	_	_	_	2	CONcoo
mihi	ego	_	Sing	_	_	Dat	_	_	PROper
nec	nec	_	_	_	_	_	_	2	CONcoo
matri	mater	_	Sing	_	_	Dat	_	_	NOMcom
parcere	parco	_	_	_	Inf|Pres|Act	_	_	_	VER
uolueritis	uolo	_	Plur	2	Ind|FutAnt|Act	_	_	3	VER
misereamini	misereor	_	Plur	2	Sub|Pres|Dep	_	_	_	VER
saltem	saltem	Pos	_	_	_	_	_	_	ADV
paruuli	paruulus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
uagientis	uagio	_	Sing	_	Par|Pres|Act	Gen	Com	_	VER

Sinite	sino	_	Plur	2	Imp|Pres|Act	_	_	_	VER
modicum	modicus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
sustinete	sustineo	_	Plur	2	Imp|Pres|Act	_	_	_	VER
si	si	_	_	_	_	_	_	2	CONsub
forte	forte	Pos	_	_	_	_	_	_	ADV
mulier	mulier	_	Sing	_	_	Nom	_	_	NOMcom
prae	prae	_	_	_	_	_	_	2	PRE
dolore	dolor	_	Sing	_	_	Abl	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
exstasi	exstasis	_	Sing	_	_	Abl	_	_	NOMcom
posita	pono	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
adhuc	adhuc	Pos	_	_	_	_	_	_	ADV
ualeat	ualeo	_	Sing	3	Sub|Pres|Act	_	_	_	VER
respirare	respiro	_	_	_	Inf|Pres|Act	_	_	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
ecce	ecce	_	_	_	_	_	_	_	INJ
non	non	_	_	_	_	_	_	_	ADVneg
procul	procul	Pos	_	_	_	_	_	_	ADV
a	ab	_	_	_	_	_	_	_	PRE
naui	nauis	_	Sing	_	_	Abl	_	_	NOMcom
quidam	quidam	_	Sing	_	_	Nom	Masc	_	PROind
