token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
cum	cum	_	_	_	_	_	_	3	CONsub
non	non	_	_	_	_	_	_	_	ADVneg
exigui	exiguus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
momenti	momentum	_	Sing	_	_	Gen	_	_	NOMcom
negotia	negotium	_	Plur	_	_	Acc	_	_	NOMcom
quaedam	quidam	_	Plur	_	_	Acc	Neut	_	PROind
inuictissimus	inuictus	Sup	Sing	_	_	Nom	Masc	_	ADJqua
Angliae	Anglia	_	Sing	_	_	Gen	_	_	NOMpro
Rex	rex	_	Sing	_	_	Nom	_	_	NOMcom
Henricus	Henricus	_	Sing	_	_	Nom	_	_	NOMpro
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
nominis	nomen	_	Sing	_	_	Gen	_	_	NOMcom
octauus	octauus	Pos	Sing	_	_	Nom	Masc	_	ADJord
omnibus	omnis	_	Plur	_	_	Abl	Com	_	PROind
egregii	egregius	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
principis	princeps	_	Sing	_	_	Gen	_	1	NOMcom
artibus	ars	_	Plur	_	_	Abl	_	_	NOMcom
ornatissimus	ornatus	Sup	Sing	_	_	Nom	Masc	2	ADJqua
cum	cum	_	_	_	_	_	_	2	PRE
serenissimo	serenus	Sup	Sing	_	_	Abl	MascNeut	_	ADJqua
Castellae	Castella	_	Sing	_	_	Gen	_	_	NOMpro
principe	princeps	_	Sing	_	_	Abl	_	1	NOMcom
Carolo	Carolus	_	Sing	_	_	Abl	_	_	NOMpro
controuersa	controuersus	Pos	Plur	_	_	Acc	Neut	1	ADJqua
nuper	nuper	Pos	_	_	_	_	_	_	ADV
habuisset	habeo	_	Sing	3	Sub|Pqp|Act	_	_	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
ea	is	_	Plur	_	_	Acc	Neut	_	PROdem
tractanda	tracto	_	Plur	_	Adj|_|Pass	Acc	Neut	_	VER
componendaque	compono界que	_	Plur	_	Adj|_|Pass	Acc	Neut	_	VER
oratorem	orator	_	Sing	_	_	Acc	_	_	NOMcom
me	ego	_	Sing	_	_	Acc	_	_	PROper
legauit	lego	_	Sing	3	Ind|Perf|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
Flandriam	Flandria	_	Sing	_	_	Acc	_	_	NOMpro
comitem	comes	_	Sing	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
collegam	collega	_	Sing	_	_	Acc	_	_	NOMcom
uiri	uir	_	Sing	_	_	Gen	_	_	NOMcom
incomparabilis	incomparabilis	Pos	Sing	_	_	Gen	Com	_	ADJqua
Cuthberti	Cuthbertius	_	Sing	_	_	Gen	_	_	NOMpro
Tunstalli	Tunstallus	_	Sing	_	_	Gen	_	_	NOMpro
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
sacris	sacer	Pos	Plur	_	_	Abl	Com	_	ADJqua
scriniis	scrinium	_	Plur	_	_	Abl	_	_	NOMcom
nuper	nuper	Pos	_	_	_	_	_	_	ADV
ingenti	ingens	Pos	Sing	_	_	Abl	Com	_	ADJqua
omnium	omnis	_	Plur	_	_	Gen	Com	_	PROind
gratulatione	gratulatio	_	Sing	_	_	Abl	_	_	NOMcom
praefecit	praeficio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
de	de	_	_	_	_	_	_	_	PRE
cuius	qui	_	Sing	_	_	Gen	Com	1	PROrel
sane	sane	Pos	_	_	_	_	_	_	ADV
laudibus	laus	_	Plur	_	_	Abl	_	_	NOMcom
nihil	nihil	_	_	_	_	Ind	_	_	PROind
a	ab	_	_	_	_	_	_	_	PRE
me	ego	_	Sing	_	_	Abl	_	_	PROper
dicetur	dico	_	Sing	3	Ind|Fut|Pass	_	_	2	VER
non	non	_	_	_	_	_	_	_	ADVneg
quod	quod	_	_	_	_	_	_	2	CONsub
uerear	uereor	_	Sing	1	Sub|Pres|Dep	_	_	_	VER
ne	ne	_	_	_	_	_	_	4	CONsub
parum	parum	Pos	_	_	_	_	_	2	ADV
sincerae	sincerus	Pos	Sing	_	_	Gen	Fem	_	ADJqua
fidei	fides	_	Sing	_	_	Gen	_	2	NOMcom
testis	testis	_	Sing	_	_	Nom	_	1	NOMcom
habenda	habeo	_	Sing	_	Adj|_|Pass	Nom	Fem	_	VER
sit	sum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
amicitia	amicitia	_	Sing	_	_	Nom	_	_	NOMcom
sed	sed	_	_	_	_	_	_	_	CONcoo
quod	quod	_	_	_	_	_	_	2	CONsub
uirtus	uirtus	_	Sing	_	_	Nom	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
ac	ac	_	_	_	_	_	_	1	CONcoo
doctrina	doctrina	_	Sing	_	_	Nom	_	_	NOMcom
maior	magnus	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
quam	quam	_	_	_	_	_	_	1	ADVrel
ut	ut	_	_	_	_	_	_	4	CONsub
a	ab	_	_	_	_	_	_	_	PRE
me	ego	_	Sing	_	_	Abl	_	_	PROper
